location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
jagatpura, jagatpura,6434999.999999999,1215,5296.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-135-sq-yd-plot-in-jagatpura/9737813
jagatpura, jagatpura,6431999.999999999,1188,5414.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-132-sq-yd-plot-in-jagatpura/9737847
jagatpura, jagatpura,6483000.0,1647,3936.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-183-sq-yd-plot-in-jagatpura/9737797
jagatpura, jagatpura,6462000.0,1458,4432.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-162-sq-yd-plot-in-jagatpura/9737850
jagatpura, jagatpura,6495000.0,1755,3700.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-195-sq-yd-plot-in-jagatpura/9737819
jagatpura, jagatpura,6481000.0,1629,3978.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-181-sq-yd-plot-in-jagatpura/9737842
jagatpura, jagatpura,6486000.0,1674,3874.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-186-sq-yd-plot-in-jagatpura/9737828
ajmer road, ajmer road,2141000.0,172,12447.0,,,26.893845,75.747296,https://www.squareyards.com/resale-172-sq-ft-plot-in-ajmer-road/9706345
jagatpura, jagatpura,6404000.000000001,936,6841.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-104-sq-yd-plot-in-jagatpura/9737799
jagatpura, jagatpura,6451000.000000001,1359,4746.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-151-sq-yd-plot-in-jagatpura/9737838
jagatpura, jagatpura,6445000.0,1305,4938.0,,garden view,26.8176736,75.8617171,https://www.squareyards.com/resale-145-sq-yd-plot-in-jagatpura/9737814
