location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
hardhyanpura, hardhyanpura,5153000.0,1773,2906.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-197-sq-yd-plot-in/9717731
hardhyanpura, hardhyanpura,5190000.0,1350,3844.0,east facing,garden view,26.8357755,75.5913278,
hardhyanpura, hardhyanpura,5130000.0,1314,3904.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-146-sq-yd-plot-in/9701148
hardhyanpura, hardhyanpura,5151000.0,1476,3489.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-164-sq-yd-plot-in/9717720
hardhyanpura, hardhyanpura,5153000.0,1692,3045.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-188-sq-yd-plot-in/9717728
hardhyanpura, hardhyanpura,5135000.0,1800,2852.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-200-sq-yd-plot-in/9701172
hardhyanpura, hardhyanpura,5183000.0,1854,2795.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-206-sq-yd-plot-in/9680407
hardhyanpura, hardhyanpura,5147000.0,2043,2519.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-227-sq-yd-plot-in/9711320
hardhyanpura, hardhyanpura,5150000.0,1314,3919.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-146-sq-yd-plot-in/9717714
hardhyanpura, hardhyanpura,5138000.0,2016,2548.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-224-sq-yd-plot-in/9701184
hardhyanpura, hardhyanpura,5132000.0,1512,3394.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-168-sq-yd-plot-in/9701158
hardhyanpura, hardhyanpura,5131000.0,1458,3519.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-162-sq-yd-plot-in/9701155
hardhyanpura, hardhyanpura,5135000.0,1782,2881.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-198-sq-yd-plot-in/9701171
