,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
723,villa,agra road, Agra Road,4220000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1320-sq-ft-villa-in-agra-road/9796623,1320.0
724,villa,agra road, Agra Road,4210000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1310-sq-ft-villa-in-agra-road/9796625,1310.0
725,villa,agra road, Agra Road,4270000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1370-sq-ft-villa-in-agra-road/9796614,1370.0
726,villa,agra road, Agra Road,4203000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1335-sq-ft-villa-in-agra-road/9796604,1335.0
727,villa,agra road, Agra Road,4330000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1430-sq-ft-villa-in-agra-road/9796533,1430.0
728,villa,agra road, Agra Road,4220000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1300-sq-ft-villa-in-agra-road/9796628,1300.0
729,villa,agra road, Agra Road,4230000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1330-sq-ft-villa-in-agra-road/9796622,1330.0
730,villa,agra road, Agra Road,4390000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1490-sq-ft-villa-in-agra-road/9796521,1490.0
731,villa,agra road, Agra Road,4206000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1365-sq-ft-villa-in-agra-road/9796596,1365.0
732,villa,agra road, Agra Road,4310000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1410-sq-ft-villa-in-agra-road/9796551,1410.0
733,villa,agra road, Agra Road,4320000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1420-sq-ft-villa-in-agra-road/9796542,1420.0
734,villa,agra road, Agra Road,4201000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1315-sq-ft-villa-in-agra-road/9796610,1315.0
735,villa,agra road, Agra Road,4340000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1440-sq-ft-villa-in-agra-road/9796532,1440.0
