,location_area,property_location,total_price,area_sqft,outside_view,property_link
2823,mahaveer nagar, mahaveer nagar,13500000.0,1008.0,road view,https://www.squareyards.com/resale-1008-sq-ft-plot-in-mahaveer-nagar/9845329
2825,mahaveer nagar, mahaveer nagar,26700000.0,1910.0,road view,https://www.squareyards.com/resale-1910-sq-ft-plot-in-mahaveer-nagar/9845327
2827,mahaveer nagar, mahaveer nagar,25200000.0,1800.0,road view,https://www.squareyards.com/resale-1800-sq-ft-plot-in-mahaveer-nagar/9845269
2828,mahaveer nagar, mahaveer nagar,13500000.0,1010.0,road view,https://www.squareyards.com/resale-1010-sq-ft-plot-in-mahaveer-nagar/9845284
2830,pratap nagar, pratap nagar,4200000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-pratap-nagar/9818491
2831,tonk road, tonk road,3325000.0,1530.0,,https://www.squareyards.com/resale-170-sq-yd-plot-in-shreenath-regency/9695329
2832,tonk road, tonk road,4250000.0,1800.0,,https://www.squareyards.com/resale-200-sq-yd-plot-in-shreenath-regency/9695345
2833,tonk road, tonk road,3200000.0,1350.0,,https://www.squareyards.com/resale-150-sq-yd-plot-in-shreenath-regency/9695353
2834,tonk road, tonk road,500000.0,1800.0,,https://www.squareyards.com/resale-200-sq-yd-plot-in-shreenath-regency/9673500
2835,tonk road, tonk road,4200000.0,1800.0,,https://www.squareyards.com/resale-200-sq-yd-plot-in-shreenath-regency/9695388
2836,tonk road, tonk road,3500000.0,140.0,,https://www.squareyards.com/resale-140-sq-ft-plot-in-shreenath-regency/9695032
2837,tonk road, tonk road,2600000.0,120.0,,https://www.squareyards.com/resale-120-sq-ft-plot-in-shreenath-regency/9695859
