,location_area,property_location,total_price,area_sqft,outside_view,property_link
2654,other, prithvis,17500000.0,6210.0,,https://www.squareyards.com/resale-690-sq-yd-plot-in-prithvisinghpura-at-naiwala/9872787
2655,tonk road, tonk road,3500000.0,1800.0,,https://www.squareyards.com/resale-200-sq-yd-plot-in-shreenath-regency/9695238
2656,other, prithvis,3100000.0,1035.0,,https://www.squareyards.com/resale-115-sq-yd-plot-in-aryan-yaduraj-oxygen-acres/9872804
2657,tonk road, tonk road,5000000.0,1620.0,,https://www.squareyards.com/resale-180-sq-yd-plot-in-shreenath-regency/9695631
2658,bhakrota, bhakrota,4011000.0,1957.0,road view,https://www.squareyards.com/resale-1957-sq-ft-plot-in-bhakrota/9801823
2659,hardhyanpura, hardhyanpura,5421000.0,1332.0,garden view,https://www.squareyards.com/resale-148-sq-yd-plot-in-hardhyanpura/9873152
2660,hardhyanpura, hardhyanpura,5421000.0,1296.0,garden view,https://www.squareyards.com/resale-144-sq-yd-plot-in-hardhyanpura/9873150
2661,hardhyanpura, hardhyanpura,5422000.0,1458.0,garden view,https://www.squareyards.com/resale-162-sq-yd-plot-in-hardhyanpura/9873160
2662,hardhyanpura, hardhyanpura,5421000.0,1368.0,garden view,https://www.squareyards.com/resale-152-sq-yd-plot-in-hardhyanpura/9873156
2663,hardhyanpura, hardhyanpura,5425000.0,1656.0,garden view,https://www.squareyards.com/resale-184-sq-yd-plot-in-hardhyanpura/9873174
2664,hardhyanpura, hardhyanpura,5428000.0,1980.0,garden view,https://www.squareyards.com/resale-220-sq-yd-plot-in-hardhyanpura/9873198
2665,hardhyanpura, hardhyanpura,5425000.0,1692.0,garden view,https://www.squareyards.com/resale-188-sq-yd-plot-in-hardhyanpura/9873171
2666,hardhyanpura, hardhyanpura,5426000.0,1782.0,garden view,https://www.squareyards.com/resale-198-sq-yd-plot-in-hardhyanpura/9873181
2668,hardhyanpura, hardhyanpura,5420000.0,1251.0,garden view,https://www.squareyards.com/resale-139-sq-yd-plot-in-hardhyanpura/9873148
2669,hardhyanpura, hardhyanpura,5423000.0,1548.0,garden view,https://www.squareyards.com/resale-172-sq-yd-plot-in-hardhyanpura/9873170
2670,hardhyanpura, hardhyanpura,5422000.0,1404.0,garden view,https://www.squareyards.com/resale-156-sq-yd-plot-in-hardhyanpura/9873157
2671,hardhyanpura, hardhyanpura,5423000.0,1476.0,garden view,https://www.squareyards.com/resale-164-sq-yd-plot-in-hardhyanpura/9873161
2672,hardhyanpura, hardhyanpura,5428000.0,1926.0,garden view,https://www.squareyards.com/resale-214-sq-yd-plot-in-hardhyanpura/9873190
2673,hardhyanpura, hardhyanpura,5426000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-hardhyanpura/9873180
2674,hardhyanpura, hardhyanpura,5427000.0,1872.0,garden view,https://www.squareyards.com/resale-208-sq-yd-plot-in-hardhyanpura/9873188
2675,hardhyanpura, hardhyanpura,5425000.0,1674.0,garden view,https://www.squareyards.com/resale-186-sq-yd-plot-in-hardhyanpura/9873175
2676,hardhyanpura, hardhyanpura,5425000.0,1710.0,garden view,https://www.squareyards.com/resale-190-sq-yd-plot-in-hardhyanpura/9873177
2677,hardhyanpura, hardhyanpura,5421000.0,1350.0,garden view,https://www.squareyards.com/resale-150-sq-yd-plot-in-hardhyanpura/9873155
2678,hardhyanpura, hardhyanpura,5424000.0,1566.0,garden view,https://www.squareyards.com/resale-174-sq-yd-plot-in-hardhyanpura/9873165
2679,hardhyanpura, hardhyanpura,5420000.0,1170.0,garden view,https://www.squareyards.com/resale-130-sq-yd-plot-in-hardhyanpura/9872914
2680,hardhyanpura, hardhyanpura,5422000.0,1386.0,garden view,https://www.squareyards.com/resale-154-sq-yd-plot-in-hardhyanpura/9873154
2681,hardhyanpura, hardhyanpura,5424000.0,1638.0,garden view,https://www.squareyards.com/resale-182-sq-yd-plot-in-hardhyanpura/9873168
2682,hardhyanpura, hardhyanpura,5424000.0,1602.0,garden view,https://www.squareyards.com/resale-178-sq-yd-plot-in-hardhyanpura/9873173
2683,hardhyanpura, hardhyanpura,5428000.0,1944.0,garden view,https://www.squareyards.com/resale-216-sq-yd-plot-in-hardhyanpura/9873191
2684,hardhyanpura, hardhyanpura,5429000.0,2088.0,garden view,https://www.squareyards.com/resale-232-sq-yd-plot-in-hardhyanpura/9873204
2685,hardhyanpura, hardhyanpura,5426000.0,1746.0,garden view,https://www.squareyards.com/resale-194-sq-yd-plot-in-hardhyanpura/9873179
2686,hardhyanpura, hardhyanpura,5423000.0,1530.0,garden view,https://www.squareyards.com/resale-170-sq-yd-plot-in-hardhyanpura/9873164
2687,hardhyanpura, hardhyanpura,5427000.0,1890.0,garden view,https://www.squareyards.com/resale-210-sq-yd-plot-in-hardhyanpura/9873186
2688,hardhyanpura, hardhyanpura,5429000.0,2070.0,garden view,https://www.squareyards.com/resale-230-sq-yd-plot-in-hardhyanpura/9873202
2689,hardhyanpura, hardhyanpura,5424000.0,1584.0,garden view,https://www.squareyards.com/resale-176-sq-yd-plot-in-hardhyanpura/9873166
2691,hardhyanpura, hardhyanpura,5420000.0,1197.0,garden view,https://www.squareyards.com/resale-133-sq-yd-plot-in-hardhyanpura/9873146
2692,hardhyanpura, hardhyanpura,5420000.0,1278.0,garden view,https://www.squareyards.com/resale-142-sq-yd-plot-in-hardhyanpura/9873149
2693,hardhyanpura, hardhyanpura,5423000.0,1512.0,garden view,https://www.squareyards.com/resale-168-sq-yd-plot-in-hardhyanpura/9873163
2694,hardhyanpura, hardhyanpura,5423000.0,1494.0,garden view,https://www.squareyards.com/resale-166-sq-yd-plot-in-hardhyanpura/9873162
2695,hardhyanpura, hardhyanpura,5421000.0,1314.0,garden view,https://www.squareyards.com/resale-146-sq-yd-plot-in-hardhyanpura/9873153
2696,hardhyanpura, hardhyanpura,5426000.0,1764.0,garden view,https://www.squareyards.com/resale-196-sq-yd-plot-in-hardhyanpura/9873182
2697,hardhyanpura, hardhyanpura,5427000.0,1908.0,garden view,https://www.squareyards.com/resale-212-sq-yd-plot-in-hardhyanpura/9873187
2698,hardhyanpura, hardhyanpura,5420000.0,1224.0,garden view,https://www.squareyards.com/resale-136-sq-yd-plot-in-hardhyanpura/9873147
2699,hardhyanpura, hardhyanpura,5427000.0,1854.0,garden view,https://www.squareyards.com/resale-206-sq-yd-plot-in-hardhyanpura/9873185
2700,hardhyanpura, hardhyanpura,5424000.0,1620.0,garden view,https://www.squareyards.com/resale-180-sq-yd-plot-in-hardhyanpura/9873169
2701,hardhyanpura, hardhyanpura,5427000.0,1836.0,garden view,https://www.squareyards.com/resale-204-sq-yd-plot-in-hardhyanpura/9873184
2702,hardhyanpura, hardhyanpura,5428000.0,1962.0,garden view,https://www.squareyards.com/resale-218-sq-yd-plot-in-hardhyanpura/9873197
2703,hardhyanpura, hardhyanpura,5428000.0,1998.0,garden view,https://www.squareyards.com/resale-222-sq-yd-plot-in-hardhyanpura/9873199
2704,hardhyanpura, hardhyanpura,5429000.0,2016.0,garden view,https://www.squareyards.com/resale-224-sq-yd-plot-in-hardhyanpura/9873201
2705,hardhyanpura, hardhyanpura,5429000.0,2034.0,garden view,https://www.squareyards.com/resale-226-sq-yd-plot-in-hardhyanpura/9873200
2706,hardhyanpura, hardhyanpura,5429000.0,2052.0,garden view,https://www.squareyards.com/resale-228-sq-yd-plot-in-hardhyanpura/9873203
2707,hardhyanpura, hardhyanpura,5198000.0,1944.0,garden view,https://www.squareyards.com/resale-216-sq-yd-plot-in-hardhyanpura/9752201
2708,hardhyanpura, hardhyanpura,5253000.0,1530.0,garden view,https://www.squareyards.com/resale-170-sq-yd-plot-in-hardhyanpura/9790550
2709,hardhyanpura, hardhyanpura,5186000.0,1782.0,garden view,https://www.squareyards.com/resale-198-sq-yd-plot-in-hardhyanpura/9745394
