,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
10, Flat ,patrakar colony, Patrakar Colony,4200000.0,3818.0,3,3.0,1.0,1.0,0,0,0,0,semi-furnished,26.8419166058756,75.7363313063979,https://www.squareyards.com/resale-3-bhk-1100-sq-ft-apartment-in-balaji-residency-2/9165645,1100.0
11, Flat ,gandhi path, Gandhi Path,6406999.999999999,4299.0,2.5,2.5,,,1,0,0,0,Semi-Furnished,26.8959625626657,75.6881799548864,https://www.squareyards.com/resale-2-5-bhk-pooja-room-1490-sq-ft-apartment-in-seven-heaven/8301598,1490.0
12, Flat ,ajmer road, Ajmer Road,3800000.0,3040.0,3,2.0,,,1,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-3-bhk-pooja-room-1250-sq-ft-apartment-in-chordias-atulya/9788268,1086.0
13, Flat ,girdharipura, Girdharipura,8000000.0,5287.0,3,2.0,1.0,,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-3-bhk-1513-sq-ft-apartment-in-gurukripa-heights/9639333,1315.0
14, Flat ,jagatpura, Jagatpura,4500000.0,3600.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.8029830557476,75.8742900565267,https://www.squareyards.com/resale-2-bhk-1250-sq-ft-apartment-in-jagatpura/9618495,1438.0
15, Flat ,vaishali nagar, Vaishali Nagar,9800000.0,4937.0,3,3.0,,,1,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-3-bhk-pooja-room-1985-sq-ft-apartment-in-platinum-amaltas/9551728,1726.0
16, Flat ,ajmer road, Mahapura,3700000.0,4199.0,2,2.0,1.0,,0,0,0,0,Unfurnished,,,https://www.squareyards.com/resale-2-bhk-881-sq-ft-apartment-in-vardhman-empire-estate/9728263,766.0
17, Flat ,central jaipur, Gopalpura,6500000.0,6012.0,2,2.0,1.0,,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-2-bhk-1081-sq-ft-apartment-in-viraj-kamal-apartment/9463244,1081.0
18, Flat ,ajmer road, Ajmer Road,4000000.0,2797.0,3,2.0,1.0,,1,0,0,0,Semi-Furnished,,,https://www.squareyards.com/resale-3-bhk-pooja-room-1430-sq-ft-apartment-in-dhanuka-sunshine-symphony/9731041,1243.0
19, Flat ,gandhi path, Gandhi Path,2300000.0,3859.0,2,2.0,2.0,2.0,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-2-bhk-596-sq-ft-apartment-in-ravi-surya-residency/9440323,596.0
20, Flat ,ajmer road, Ajmer Road,1350000.0,1473.0,2,2.0,3.0,3.0,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-2-bhk-916-sq-ft-apartment-in-omaxe-shubhangan/9508301,916.0
21, Flat ,gokulpura, Meenawala,4300000.0,3515.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-3-bhk-1223-sq-ft-apartment-in-hanumant-raghunandan-heights/9475517,1063.0
22, Flat ,vaishali nagar, Vaishali Nagar,16100000.000000002,7488.0,4,3.0,1.0,,0,0,0,0,semi-furnished,26.9090587013368,75.7373901084065,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571739,2150.0
23, Flat ,sanganer, Dadu Dayal Nagar,5959000.0,4349.0,3,3.0,1.0,,0,0,0,1,Semi-Furnished,,,https://www.squareyards.com/resale-3-bhk-extra-room-1370-sq-ft-apartment-in-jagdamba-apartments-mansarovar/9772611,1370.0
24, Flat ,sirsi road, Sirsi Road,6000000.0,6024.0,3,3.0,1.0,1.0,0,0,0,0,semi-furnished,26.9152651,75.7174364,https://www.squareyards.com/resale-3-bhk-996-sq-ft-apartment-in-sirsi-road/9618564,996.0
25, Flat ,vaishali nagar, Vaishali Nagar,16100000.000000002,7488.0,4,3.0,1.0,1.0,0,0,0,0,semi-furnished,26.9108908,75.737467,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571752,2150.0
26, Flat ,mansarovar, Mansarovar,10700000.0,5584.0,4,3.0,1.0,,0,0,0,0,semi-furnished,26.877935061334,75.7458608597517,https://www.squareyards.com/resale-4-bhk-1916-sq-ft-apartment-in-mansarovar/9571508,1916.0
